CCLE Cell Line Name	Compound	Doses (uM)	Activity Data (median)	EC50 (uM)	IC50 (uM)	ActArea
HEPG2_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.5,6.95,-1.4,5.21,-6.9,-6.7,-2.9,-28		8.0	0.239
HEYA8_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.06,3.38,8.03,5.97,-5.3,-7.6,-25,-38	2.030411243	8.0	0.403
HGC27_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.32,3.30,-.23,-1.5,2.91,-6.6,-19,-69	8.920719027	5.899519444	0.7505
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	18.9,-14,-3.8,35.8,-15,1.94,-4.0,12.6		8.0	0.8973
HLE_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.07,6.26,1.63,12.7,15.3,8.38,7.09,-.87		8.0	0.0
HLF_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	9.05,4.27,9.68,-.34,15.5,3.09,8.21,-17		8.0	0.1366
HMC18_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.48,6.79,-3.9,.69,2.79,6.66,-8.1,-30	2.920504093	8.0	0.2208
HMCB_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.45,-2.5,1.32,.20,-3.4,-2.7,-15,-57	8.688573093	7.181233406	0.5979
HOS_BONE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.5,-2.9,-5.2,4.91,5.30,-6.0,-18,.050		8.0	0.4549
HPAC_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.8,-12,-12,5.83,3.67,-7.4,-1.1,-72	8.030153259	7.072412014	0.9597
HS229T_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.27,5.95,-3.9,-6.1,-3.9,2.18,-5.3,-7.2		8.0	0.0
HS294T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.39,5.21,6.69,8.56,1.05,7.60,-4.2,-19	2.756451607	8.0	0.1473
HS578T_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.4,.15,1.85,.99,1.62,2.06,-9.4,-23	2.636601925	8.0	0.2575
HS683_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.53,-.35,6.15,1.12,-3.8,-.54,-9.5,-20		8.0	0.2585
HS695T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.43,10.8,2.92,-.091,-1.2,1.32,3.38,-21	8.327775958	8.0	0.1666
HS739T_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.1,6.32,7.96,12.6,1.71,-1.7,-21,-16	0.960276067	8.0	0.5616
HS746T_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.2,4.94,17.3,14.9,5.72,1.68,-12,-71	9.006840753	6.016578197	0.8844
HS766T_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	20.3,11.4,12.5,33.7,31.4,35.0,9.33,-20	2.93998909	8.0	0.2082
HS840T_UPPER_AERODIGESTIVE_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.88,12.1,6.98,7.14,10.3,-4.3,-12,-38	8.004293803	8.0	0.4101
HS852T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.2,2.28,11.3,9.12,11.9,1.56,1.13,-58	8.214773011	7.286914825	0.5659
HS895T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	18.2,5.42,12.0,9.98,-12,-26,-29,-65	8.378615548	4.720332146	1.1133
HS936T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.17,-1.5,3.03,-3.6,-.57,-.085,-9.3,-7.0		8.0	0.001392
HS939T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.2,9.75,2.33,21.0,19.2,.90,2.41,-62	8.340245751	7.080129623	0.6022
HS944T_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.39,7.24,8.09,7.25,2.09,-1.5,7.52,-26	7.793718338	8.0	0.2055
HSC2_UPPER_AERODIGESTIVE_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.49,3.41,-1.3,-1.8,2.16,-4.4,-6.9,-18		8.0	0.2326
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	20.8,21.3,20.4,19.8,16.5,5.01,6.32,11.5		8.0	0.05258
HT1197_URINARY_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	19.6,10.9,11.4,3.13,8.38,6.63,13.5,-6.5		8.0	0.06098
HT1376_URINARY_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	20.9,14.7,-5.0,-2.4,5.59,-9.6,-7.7,-3.9		8.0	0.2472
HT144_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.4,-2.8,-2.9,5.76,-2.1,-4.6,-27,-65	3.392899752	4.633401871	0.8419
HT29_LARGE_INTESTINE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.7,3.33,-9.8,6.71,5.31,-5.9,-8.3,-49	8.812398692	8.0	0.4398
HUCCT1_BILIARY_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-.77,4.62,3.51,1.77,-.23,-5.0,-5.3,-28	8.643622381	8.0	0.3396
HUH1_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.82,31.2,4.05,9.25,.31,3.22,16.9,-47	8.2515737	8.0	0.2987
HUPT3_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.56,27.5,16.2,16.2,-1.3,-4.7,12.5,-21	0.176628724	8.0	0.1507
HUPT4_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	27.5,17.4,26.8,6.68,49.0,-18,-25,-68	8.330956838	5.09538269	1.2267
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	30.6,8.57,48.5,-5.7,55.0,-18,-23,-97		0.426970909	1.4199
IALM_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.0,-.54,32.6,11.0,-14,-19,5.38,-25		8.0	0.5739
IGR37_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.7,10.2,9.20,-1.5,-5.8,-9.1,-2.1,-42	9.056224834	8.0	0.8076
IGR39_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.0,-8.7,7.11,-5.5,-3.3,-8.2,-3.5,-20		8.0	0.1603
IGROV1_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.8,4.29,-.58,8.43,-4.5,-4.6,-12,-41	8.934597249	8.0	0.4447
IM95_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	95.4,-26,71.6,-48,62.3,-25,144,-53		8.0	2.0
IMR32_AUTONOMIC_GANGLIA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.0,-3.0,5.68,52.6,-4.7,-19,-13,-67		8.0	0.933
IPC298_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-.56,-7.9,-9.3,.67,-4.0,2.05,-6.7,-30	3.673153162	8.0	0.2386
ISTMES1_PLEURA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	31.0,13.9,-11,6.12,-3.7,3.84,-17,-80		0.893207331	1.0773
ISTMES2_PLEURA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.3,16.0,-6.4,-5.4,-1.3,-9.2,-4.2,-58		3.565156339	0.7994
JHH2_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.93,-11,5.49,2.04,15.1,.93,-12,-44	3.801424026	8.0	0.4738
JHH4_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-.67,-5.2,12.8,7.90,.79,-1.7,-20,-39	2.580118895	8.0	0.5288
JHH6_LIVER	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.60,-2.1,4.80,-4.6,.22,-5.2,-5.9,-10		8.0	0.02888
JHOS2_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	22.2,15.8,-8.2,18.2,23.4,-15,17.6,-44		8.0	0.5389
JHOS4_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.22,10.2,7.01,13.0,-10,-13,-34,-73	8.425420229	4.287676811	1.2189
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.97,7.24,-.42,-4.5,-3.0,-3.9,-23,-52	9.127332962	7.700304031	0.6152
JMSU1_URINARY_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.31,-1.2,12.5,6.58,9.75,6.67,-11,-65	3.698751211	5.011620998	0.6397
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.9,7.29,8.31,17.7,5.80,.35,-18,-44	3.388038397	8.0	0.9375
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	25.9,27.4,46.5,48.6,-6.1,-8.7,-54,-62		2.293517775	1.8695
K029AX_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.1,-5.7,3.29,-15,-8.9,-5.8,-13,-45	5.484663486	8.0	0.6065
KALS1_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.40,3.66,15.7,6.52,8.38,9.09,7.66,-23	6.307493687	8.0	0.2728
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.37,-11,25.2,15.7,2.69,3.91,-3.2,-18		8.0	0.04111
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.25,24.8,15.4,2.67,1.46,6.81,19.3,8.72		8.0	0.1021
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.7,2.35,3.53,5.99,-2.2,-8.0,-17,-40		8.0	0.3661
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	.52,4.38,15.3,27.9,-2.9,-17,-26,-52	3.082498312	7.463879585	1.0794
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.97,-26,-74,-88,-90,-92,-93,-96	0.010807797	0.013746729	5.6277
KE39_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	9.84,15.9,5.49,6.21,8.53,12.9,-4.8,-58	3.30158329	4.791784763	0.5221
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.4,2.84,-.63,4.49,-9.5,-6.1,-8.7,-32		8.0	0.2995
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	11.9,-5.2,27.6,14.2,-8.5,25.6,2.48,-25		8.0	0.6361
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.23,-18,-13,6.78,-2.2,-5.3,-33,-59		2.321830997	1.8774
KLE_ENDOMETRIUM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	28.0,-2.1,26.8,-19,5.81,12.2,22.2,-13		8.0	0.5632
KMBC2_URINARY_TRACT	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	.60,6.94,3.67,3.94,-1.2,-.43,-3.3,-4.2		8.0	0.01426
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.88,12.1,8.08,-9.7,-3.0,-25,-47,-75	8.028491872	2.917067289	1.5839
KMRC1_KIDNEY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.98,10.6,11.4,17.7,9.19,5.33,-13,-11	1.114308	8.0	0.1906
KMRC2_KIDNEY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.5,8.47,12.7,8.38,4.03,7.93,3.13,-22	8.50136868	8.0	0.1628
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.1,6.33,14.4,.25,-23,-23,-35,-67	8.375004936	4.221470356	2.0814
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	26.5,20.5,-24,-1.1,-.64,-6.9,-.15,-15		8.0	1.1375
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	14.8,2.46,12.4,2.07,14.3,-2.8,-14,-70	8.827539334	6.001347065	0.8691
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.5,-1.8,3.79,18.2,3.52,-16,-38,-77	3.831058264	3.499485731	1.4553
KNS42_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	.47,14.6,-16,4.23,7.21,4.70,-5.5,-13		8.0	0.3225
KNS60_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.35,11.0,22.1,10.3,21.1,8.26,2.51,-33	8.296111221	8.0	0.2903
KNS81_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.90,13.2,-6.6,23.8,1.04,12.5,-9.2,-48	2.942981482	8.0	0.5671
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.38,10.9,24.1,30.3,29.3,-4.8,-26,-47	1.562627792	8.0	0.764
KP1N_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	8.96,-6.4,2.89,3.54,.17,-.61,-7.0,-32	8.453891532	8.0	0.2514
KP1NL_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	16.8,5.52,5.64,-4.4,-3.9,-4.6,6.48,-24	0.184748262	8.0	0.1877
KP2_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.56,-5.6,1.74,8.80,3.63,-3.5,-6.6,-29	8.259091809	8.0	0.2871
KP3_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.10,-1.7,5.25,-7.1,-3.8,-11,-21,-38		8.0	0.4622
KP4_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.7,10.6,-2.4,-.84,6.88,13.2,-5.1,-39	3.106175661	8.0	0.3059
KPNSI9S_AUTONOMIC_GANGLIA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.68,1.59,9.17,9.21,19.8,-4.3,-12,-88	8.588520213	5.412808418	1.1281
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.56,-3.1,-78,-51,-95,-96,-97,-98	0.015693095	0.016822226	5.016
KURAMOCHI_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	12.5,16.3,6.49,14.3,12.3,5.22,-23,-38	1.822841644	8.0	1.27
KYSE30_OESOPHAGUS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.87,2.99,5.83,1.72,-.78,-3.6,-2.7,-50	8.69731493	8.0	0.4685
KYSE410_OESOPHAGUS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.64,.94,6.74,.93,.80,-13,-7.9,-49	8.720007676	5.128837109	0.5324
KYSE520_OESOPHAGUS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.6,-4.8,6.52,-2.3,4.63,-7.6,-15,-64	8.700853713	6.504006386	0.6587
L33_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-.98,7.59,3.73,2.95,-6.8,-8.6,-2.5,-26		8.0	0.4161
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.8,21.6,-16,2.24,-2.8,-13,-37,-27	8.078594601	8.0	1.9171
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.96,7.89,22.4,27.4,-7.5,-11,-20,-58	8.378164416	6.550229549	1.1117
LC1SQSF_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.48,-2.6,7.51,-2.5,18.8,4.02,8.09,-12		8.0	0.1196
LCLC103H_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.2,-.85,-5.1,7.69,-9.4,5.78,-5.8,-5.3		8.0	0.1693
LN18_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	19.4,-5.9,25.1,-7.4,-3.1,-20,2.54,-42		8.0	0.4477
LN229_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	10.7,3.24,4.82,11.3,8.44,1.77,-6.0,-72	8.694676116	6.401216984	0.7352
LOUNH91_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	.85,9.55,13.7,-.19,-28,2.37,-12,-5.5		8.0	0.3538
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	20.4,10.4,-2.9,17.4,7.30,-15,-40,-58	1.275990963	4.030470371	2.2922
LS123_LARGE_INTESTINE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.75,16.6,-15,4.93,12.0,13.7,-3.2,-46	8.54671183	8.0	0.5402
LS513_LARGE_INTESTINE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	14.0,3.03,18.5,-6.4,6.57,-19,-61,-39	0.824943781	8.0	1.4159
LU99_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.2,13.6,-.15,6.29,-6.2,6.98,-14,-45	2.869487524	8.0	0.5356
LUDLU1_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	16.7,25.3,-6.2,12.6,-2.1,14.5,-18,-56	2.689198732	4.289455414	0.8515
M059J	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.3,12.3,-5.0,.28,-9.7,13.2,-6.8,-37	3.246944666	8.0	0.5565
MALME3M_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.12,8.72,13.2,-26,2.43,2.07,-27,-72	3.901403666	4.411684036	1.1576
MB157_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	24.7,25.7,20.9,32.0,-8.0,14.2,-15,-58		3.224921905	1.0798
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.8,9.76,16.7,2.39,7.26,7.87,18.4,2.17		8.0	0.0
MCAS_OVARY	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.99,6.08,2.48,2.14,3.60,-2.2,6.77,-22	9.580913285	8.0	0.1668
MCF7_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	41.8,7.16,12.1,34.7,10.7,15.3,-23,-44		8.0	0.1241
MDAMB157_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.05,26.1,-6.7,10.1,-6.1,20.5,-9.1,-32		8.0	0.6589
MDAMB175VII_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.9,4.55,-17,1.10,10.8,11.1,6.20,-20		8.0	0.182
MDAMB415_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.1,19.8,9.74,10.8,6.45,-10,-30,-92	8.210792629	3.974702597	0.9927
MDAMB435S_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	.16,1.87,-5.4,-4.9,-.33,4.32,-2.0,-65	5.659163952	6.421111584	1.0356
MDAMB436_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.3,1.51,18.4,5.84,34.7,11.7,20.9,-31	8.302404276	8.0	0.2853
MDAMB453_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.1,-10,17.7,-1.5,-6.0,-17,-7.6,-41	9.532789503	8.0	0.3012
MDAMB468_BREAST	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	11.5,4.65,33.7,53.0,7.36,20.3,-5.7,-63	3.195904255	4.322463036	0.6117
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	3.58,-12,-9.9,-7.2,13.9,-19,-36,-56	8.481263503	6.008265495	1.7814
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	8.05,-15,-14,-56,-90,-95,-96,-98	0.067006387	0.069269069	4.4689
MELHO_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	11.9,6.46,3.82,-1.8,11.6,.44,-9.3,-56	8.412597259	7.266346931	0.654
MESSA_SOFT_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.98,-1.1,1.29,2.33,-1.2,5.43,-13,-38		8.0	0.3623
MEWO_SKIN	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.5,6.02,4.93,21.2,13.2,42.5,90.8,32.5		8.0	0.0
MFE280_ENDOMETRIUM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	18.4,8.44,21.8,-4.0,6.16,-2.8,14.7,-26	6.776589394	8.0	0.3222
MG63_BONE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	2.94,-3.4,4.83,3.02,3.80,.71,3.18,-33	8.030547454	8.0	0.29
MHHES1_BONE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	9.39,-1.8,-1.7,-6.5,-15,-23,-51,-88	8.873573363	2.536269426	2.5759
MIAPACA2_PANCREAS	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.33,1.12,4.34,4.28,4.04,5.11,-5.9,-31	5.109975338	8.0	0.259
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	4.50,14.2,2.53,10.7,-3.9,-8.1,4.22,-4.9		8.0	0.0
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,-22,-.19,-.76,27.5,-14,-27,10.1		8.0	0.4704
MKN45_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.63,1.73,12.8,-9.3,-1.1,-3.5,-7.7,-44	9.249514698	8.0	0.358
MKN7_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.47,12.1,-4.9,5.67,6.92,-7.1,15.0,-46		8.0	0.5522
MKN74_STOMACH	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-10,-25,10.5,2.34,-.90,9.07,-13,-28		8.0	0.4273
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-9.0,-6.0,-.57,-.34,2.12,2.91,-10.0,-13		8.0	0.08413
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.56,13.3,.56,20.1,35.3,19.4,-17,-46	2.42606473	8.0	0.838
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	16.5,31.3,1.03,7.36,23.7,-23,-28,-65		2.131068909	1.8004
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	15.9,12.7,-12,-2.9,5.92,-14,-37,-83	8.953079835	3.887146473	2.979
MPP89_PLEURA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	11.7,-13,16.5,3.41,7.87,-1.0,-1.6,-48	8.884415861	8.0	0.6128
MSTO211H_PLEURA	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	1.93,.72,10.3,-2.3,-12,5.78,-6.8,-55	3.965860128	5.937797546	0.5277
NCIH1048_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	13.8,8.84,9.59,4.64,.53,-2.1,-4.6,-46	8.541516665	8.0	0.4625
NCIH1092_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-19,27.5,5.67,3.03,2.47,-4.5,-19,-16		8.0	0.1775
NCIH1184_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	63.6,181,101,28.1,5.80,9.23,.55,4.56		8.0	0.0
NCIH1339_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.7,17.9,-3.0,-2.7,10.3,-4.2,3.04,-56	8.376379101	7.78498888	0.9951
NCIH1341_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	90.9,14.0,-1.4,23.7,45.2,16.3,-9.9,28.3		8.0	0.05606
NCIH1355_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	6.27,.85,15.2,8.85,5.43,14.0,23.9,-27	3.147473335	8.0	0.2995
NCIH1373_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	25.7,-2.2,21.1,-2.9,10.6,-4.2,-2.5,-2.8		8.0	0.0
NCIH1563_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	9.32,-6.6,-5.3,-5.5,9.29,-14,17.2,.51		8.0	0.286
NCIH1568_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	5.03,1.34,5.82,24.3,6.81,34.1,-11,-48	2.79715991	8.0	0.6011
NCIH1573_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.5,5.89,6.41,1.73,3.02,-9.9,-18,-25		8.0	0.7619
NCIH1581_LUNG	Nilotinib	.0025,.0080,.025,.080,.25,.80,2.53,8	7.19,.35,9.08,-4.4,8.17,-26,9.82,-48		8.0	0.7787
